Pair,Human Similarity,Cosine Similarity,Human Similarity Normalized,Cosine Similarity Normalized
Pair 1a,2.2,0.6808,0.44444444444444453,0.4036287923854849
Pair 1b,1.2,0.6758,0.16666666666666666,0.388756692444973
Pair 2a,2.6,0.642,0.5555555555555557,0.2882212968471147
Pair 2b,2.0,0.6331,0.38888888888888895,0.2617489589530042
Pair 3a,1.643,0.5536,0.2897222222222222,0.025282569898869678
Pair 3b,1.75,0.5758,0.31944444444444453,0.0913146936347411
Pair 4a,2.75,0.7888,0.5972222222222223,0.7248661511005354
Pair 4b,2.25,0.7996,0.45833333333333337,0.7569898869720404
Pair 5a,3.0,0.6883,0.6666666666666667,0.42593694229625245
Pair 5b,4.0,0.8186,0.9444444444444445,0.8135038667459844
Pair 6a,4.2,0.8813,1.0,0.9999999999999998
Pair 6b,2.0,0.7766,0.38888888888888895,0.6885782272456871
Pair 7a,1.8,0.7163,0.33333333333333337,0.5092207019631172
Pair 7b,4.2,0.8603,1.0,0.9375371802498511
Pair 8a,0.6,0.5943,0.0,0.14634146341463428
Pair 8b,1.2,0.5451,0.16666666666666666,0.0
Pair 9a,4.0,0.8751,0.9444444444444445,0.9815585960737658
Pair 9b,3.8,0.7153,0.888888888888889,0.5062462819750151
Pair 10a,2.75,0.7372,0.5972222222222223,0.5713860797144557
Pair 10b,3.2,0.7958,0.7222222222222223,0.7456870910172515
